mandarin,pinyin_tones,pinyin_no_tones,tones,definition,learning_aid,example
我,wŏ,wo,3,I,,我很好
你,nĭ,ni,3,you,,你好吗
您,nín,nin,2,you (polite),you+heart (you are close to my heart),我爱您
很,hĕn,hen,3,very (adj),,我不好
是,shì,shi,4,to be,,你是我妈妈
吗,ma,ma,5,y/n question particle,has mouth particle 口 - you ask questions with your mouth,你好吗？
呢,ne,ne,5,particle for follow up question,,我很好，你呢？
好,hăo,hao,3,good,woman+child,我是好
高,gāo,gao,1,high,kinda looks like a skyscraper with windows,他是高大
兴,xìng,xing,4,<happy>,,高兴
高兴,gāoxìng,gaoxing,1-4,(to be) happy/pleased,high+happy,很高兴认识你
晚,wăn,wan,3,evening,,晚安
晚上,wănshang,wanshang,3-5,evening,evening+above,晚上好！
安,ān,an,1,calm (adj),woman under a roof,晚安
晚安,wăn ān,wan an,3 1,goodnight,evening+calm,晚安妈妈
早,zăo,zao,3,morning,kinda looks like someone waking up,这是我的早饭
早上,zăoshang,zaoshang,3-5,morning,morning+above,早上好
明,míng,ming,2,bright,sun+moon,名年
明天,míngtiān,mingtian,2-1,tomorrow,bright+day (like tomorrow morning is bright),明天见
明天见,míngtiān jiàn,mingtian jian,2-1 4,see you tomorrow,tomorrow+to meet,再见！明天见
不,bù,bu,4,negative/negation particle,,我不好
客,kè,ke,4,guest,,不客气
气,qì,qi,4,air/weather,kinda looks like wind blowing,不客气
不客气,bú kèqì,bu keqi,2 4-4,don't mention it / you're welcome,,谢谢！- 不客气
再见,zàijiàn,zaijian,4-4,goodbye,again+to meet (meet again),再见！明天见
认识,rènshi,renshi,4-5,to know/recognise,,很高兴认识你
